ids	sample1_control_batch1	sample2_control_batch1	sample3_control_batch1	sample4_mir_batch1	sample5_mir_batch1
ENST00000000233_ENSG00000004059	105.0	35.0	50.0	81.0	48.0
ENST00000005374_ENSG00000006625	3.0	0.0	1.0	3.0	1.0
ENST00000006275_ENSG00000007255	18.0	8.0	6.0	18.0	10.0
ENST00000006750_ENSG00000007312	780.0	328.0	369.0	703.0	417.0
ENST00000006777_ENSG00000005486	1.0	1.0	0.0	0.0	0.0
ENST00000007516_ENSG00000004779	1334.0	591.0	766.0	929.0	1079.0
ENST00000009041_ENSG00000010270	7.0	2.0	1.0	3.0	0.0
ENST00000009530_ENSG00000019582	62.0	26.0	31.0	56.0	27.0
ENST00000009589_ENSG00000008988	75.0	37.0	36.0	65.0	74.0
ENST00000011473_ENSG00000008282	1.0	1.0	1.0	2.0	0.0
ENST00000013807_ENSG00000012061	4.0	0.0	0.0	2.0	0.0
ENST00000014930_ENSG00000013583	3.0	3.0	5.0	2.0	3.0
ENST00000022615_ENSG00000078668	126.0	33.0	65.0	98.0	57.0
ENST00000029410_ENSG00000027847	0.0	0.0	0.0	1.0	0.0
ENST00000037243_ENSG00000034713	2201.0	699.0	963.0	1619.0	1094.0
ENST00000037869_ENSG00000035141	29.0	9.0	10.0	31.0	2.0
ENST00000053243_ENSG00000048462	156.0	51.0	42.0	90.0	94.0
ENST00000053867_ENSG00000030582	39.0	11.0	27.0	36.0	2.0
ENST00000054650_ENSG00000041988	1.0	1.0	0.0	0.0	0.0
ENST00000054666_ENSG00000049245	2.0	1.0	2.0	1.0	0.0
ENST00000055077_ENSG00000049541	0.0	1.0	0.0	1.0	0.0
ENST00000072644_ENSG00000058799	1.0	0.0	1.0	1.0	0.0
ENST00000081029_ENSG00000061794	9.0	9.0	7.0	12.0	0.0
ENST00000084795_ENSG00000063177	1165.0	590.0	615.0	888.0	930.0
ENST00000085068_ENSG00000063241	6.0	2.0	2.0	2.0	2.0
ENST00000156109_ENSG00000068394	5.0	0.0	1.0	2.0	0.0
ENST00000157812_ENSG00000013275	53.0	11.0	12.0	35.0	11.0
ENST00000160827_ENSG00000079616	2.0	0.0	0.0	4.0	1.0
ENST00000163678_ENSG00000067365	2.0	0.0	3.0	2.0	0.0
ENST00000164227_ENSG00000069399	0.0	1.0	1.0	0.0	0.0
ENST00000164305_ENSG00000069943	1.0	1.0	1.0	0.0	0.0
ENST00000168216_ENSG00000072506	293.0	102.0	195.0	287.0	144.0
ENST00000173527_ENSG00000066583	3.0	0.0	0.0	0.0	2.0
ENST00000175091_ENSG00000068697	110.0	24.0	31.0	96.0	30.0
ENST00000177742_ENSG00000074071	2.0	5.0	2.0	1.0	1.0
ENST00000184266_ENSG00000065518	1.0	0.0	0.0	0.0	0.0
ENST00000188312_ENSG00000075089	6.0	3.0	0.0	5.0	1.0
ENST00000188376_ENSG00000075415	1.0	0.0	2.0	0.0	0.0
ENST00000194118_ENSG00000081791	0.0	0.0	0.0	1.0	0.0
ENST00000194214_ENSG00000081870	243.0	138.0	156.0	199.0	201.0
ENST00000196551_ENSG00000083845	140.0	59.0	69.0	106.0	92.0
ENST00000198536_ENSG00000085514	0.0	1.0	0.0	0.0	0.0
ENST00000199814_ENSG00000086589	0.0	0.0	0.0	1.0	0.0
ENST00000202773_ENSG00000089009	7220.0	2897.0	3380.0	5606.0	4951.0
ENST00000202834_ENSG00000089063	78.0	29.0	33.0	71.0	15.0
ENST00000202967_ENSG00000089163	4.0	1.0	2.0	8.0	3.0
ENST00000203407_ENSG00000010256	133.0	34.0	73.0	113.0	24.0
ENST00000203630_ENSG00000089693	5.0	0.0	1.0	3.0	0.0
ENST00000204566_ENSG00000090487	2.0	1.0	1.0	2.0	0.0
ENST00000205948_ENSG00000091583	0.0	0.0	0.0	1.0	0.0
ENST00000206020_ENSG00000091640	63.0	31.0	28.0	59.0	38.0
ENST00000206380_ENSG00000091947	0.0	0.0	0.0	1.0	0.0
ENST00000206451_ENSG00000092010	422.0	157.0	228.0	357.0	316.0
ENST00000206474_ENSG00000092036	4.0	0.0	1.0	1.0	0.0
ENST00000209873_ENSG00000094914	11.0	4.0	2.0	10.0	3.0
ENST00000210060_ENSG00000095059	116.0	34.0	39.0	62.0	29.0
ENST00000210444_ENSG00000095380	273.0	87.0	130.0	234.0	100.0
ENST00000211314_ENSG00000096092	110.0	29.0	40.0	62.0	56.0
ENST00000215071_ENSG00000099341	3.0	1.0	1.0	0.0	1.0
ENST00000215565_ENSG00000099795	110.0	47.0	123.0	88.0	48.0
ENST00000215567_ENSG00000099797	121.0	43.0	68.0	112.0	68.0
ENST00000215570_ENSG00000099800	0.0	0.0	0.0	1.0	0.0
ENST00000215587_ENSG00000099817	7.0	1.0	3.0	1.0	0.0
ENST00000215631_ENSG00000099860	7.0	1.0	1.0	4.0	0.0
ENST00000215659_ENSG00000188130	0.0	0.0	0.0	0.0	1.0
ENST00000215754_ENSG00000240972	12498.0	7028.0	7357.0	8914.0	12489.0
ENST00000215790_ENSG00000099992	0.0	0.0	0.0	1.0	0.0
ENST00000215794_ENSG00000184979	1.0	0.0	0.0	0.0	0.0
ENST00000215882_ENSG00000100075	0.0	0.0	0.0	1.0	0.0
ENST00000215886_ENSG00000100079	1.0	0.0	0.0	0.0	0.0
ENST00000215909_ENSG00000100097	2.0	0.0	0.0	0.0	2.0
ENST00000215912_ENSG00000100100	0.0	0.0	1.0	0.0	0.0
ENST00000215956_ENSG00000100138	10.0	4.0	2.0	7.0	7.0
ENST00000216029_ENSG00000100211	6.0	8.0	7.0	11.0	6.0
ENST00000216036_ENSG00000100218	0.0	1.0	0.0	0.0	0.0
ENST00000216037_ENSG00000100219	2.0	1.0	1.0	3.0	0.0
ENST00000216038_ENSG00000100220	7.0	3.0	3.0	6.0	0.0
ENST00000216068_ENSG00000100246	11.0	2.0	4.0	12.0	3.0
ENST00000216115_ENSG00000100290	28.0	8.0	11.0	20.0	6.0
ENST00000216121_ENSG00000184117	11.0	3.0	6.0	13.0	0.0
ENST00000216146_ENSG00000100316	4667.0	1829.0	2318.0	4161.0	2414.0
ENST00000216185_ENSG00000100348	147.0	72.0	53.0	133.0	66.0
ENST00000216190_ENSG00000100353	65.0	20.0	31.0	53.0	5.0
ENST00000216252_ENSG00000100410	128.0	40.0	49.0	127.0	66.0
ENST00000216259_ENSG00000100417	37.0	7.0	21.0	37.0	19.0
ENST00000216367_ENSG00000100479	0.0	0.0	0.0	1.0	0.0
ENST00000216414_ENSG00000100526	2.0	0.0	0.0	0.0	1.0
ENST00000216420_ENSG00000100532	1.0	0.0	0.0	1.0	0.0
ENST00000216442_ENSG00000100554	4.0	0.0	1.0	0.0	0.0
ENST00000216452_ENSG00000100564	19.0	8.0	9.0	7.0	8.0
ENST00000216455_ENSG00000100567	262.0	106.0	147.0	208.0	175.0
