ids	sample1_control_batch1	sample2_control_batch1	sample3_control_batch1	sample4_mir_batch1	sample5_mir_batch1
100:1001|e1da6043-bb41-4f39-9d1e-3e59eff5bb77-0_12:53480000	0.0	5.0	1.0	0.0	2.0
100:1002|4e4f1e9e-91df-4a4e-83ea-af75cfb721dd-0_ENSG00000185565	0.0	1.0	2.0	0.0	0.0
100:1002|f05a34b3-39aa-4afd-8a0a-9e73e9b16dfa-0_ENSG00000168685	5.0	3.0	4.0	3.0	3.0
100:1003|1d0b53e0-edfc-4393-b157-f3d2c5d9c59f-0_ENSG00000089157	3.0	1.0	3.0	2.0	3.0
100:1004|bb963955-8c23-4ca6-b0d4-960e58f56b54-0_12:132080000	1.0	5.0	4.0	1.0	3.0
100:1009|4d9bbc84-6ec8-4294-a607-8552bd2b9378-0_16:11872000	5.0	7.0	6.0	1.0	1.0
100:1011|fdbbb0ac-19ac-44c4-93a3-9a72023628b4-0_15:51809000	2.0	3.0	0.0	1.0	3.0
100:1013|0cea81aa-87e7-4dd6-929e-80d8d00e6e91-0_8:102251000	12.0	6.0	3.0	11.0	4.0
100:1013|e40d236e-d903-417c-b1d8-0efe090e55b9-0_3:150541000	7.0	6.0	2.0	4.0	3.0
100:1014|ca245827-476a-4c89-872b-31e17f0df988-0_12:120577000	5.0	4.0	3.0	2.0	2.0
100:1015|f601a759-c527-4072-bd04-92ea2c167a50-0_X:153352000	1.0	3.0	2.0	1.0	1.0
100:1016|27a03d80-28cc-4e4e-a741-6df16c4138e6-0_14:103341000	3.0	2.0	0.0	2.0	0.0
100:1016|3fe09938-0eca-4fc1-a7b1-8870812947a9-0_9:41481000	1.0	2.0	1.0	4.0	2.0
100:1020|bd811286-c0fa-4ba0-9cf7-b407390b5dd3-0_ENSG00000179029	2.0	0.0	0.0	1.0	0.0
100:1023|4a072615-05b1-4431-aace-bd91df72012a-0_ENSG00000213741	1.0	0.0	0.0	0.0	2.0
100:1024|1d2aaad7-a3d6-4d32-8232-e20f032b818c-0_14:57204000	2.0	3.0	3.0	1.0	1.0
100:1024|7ec8331d-a54d-4fde-81e9-53c99a5f4bb2-0_5:471000	0.0	0.0	1.0	3.0	0.0
100:1025|1372f023-c2a1-4222-b23b-74339819277d-0_ENSG00000231389	1.0	0.0	2.0	1.0	0.0
100:1031|f984d1f9-f56a-445e-93c5-4a613113a09b-0_ENSG00000163933	0.0	1.0	0.0	0.0	0.0
100:1033|4ddee9f6-a7a5-44fc-81dd-0d1388115d9f-0_ENSG00000149489	0.0	1.0	0.0	2.0	2.0
100:1035|d43c52a6-b6b7-41e7-9cbc-7262b49a4af0-0_13:52699000	1.0	3.0	0.0	0.0	0.0
100:1036|acd37b18-debb-4115-8da0-11de596e8c9f-0_21:42848000	0.0	1.0	4.0	0.0	0.0
100:1039|c9f6a677-bc93-472d-8354-afcb08759011-0_20:47654000	0.0	2.0	2.0	1.0	0.0
100:1039|d8ed40b0-b0ae-47bb-b4ad-097b4c6f332e-0_13:41376000	17.0	9.0	4.0	3.0	3.0
100:1041|920c1a15-af97-491d-b639-c876589bed45-0_9:121989000	1.0	2.0	1.0	3.0	0.0
100:1041|e8bd25fc-7354-446e-b054-d1d24d914ff9-0_6:6587000	37.0	14.0	19.0	28.0	22.0
100:1042|bc8798d2-e8c8-4313-b396-7eeacf68c84c-0_5:32174000	3.0	1.0	1.0	1.0	0.0
100:1043|1eb8f219-14d5-4771-b0f0-fff2a1945967-0_X:123913000	22.0	30.0	21.0	7.0	11.0
100:1049|86fdac41-760c-45e0-9336-c17d639e5f9f-0_ENSG00000180098	2.0	0.0	0.0	1.0	0.0
100:1050|427ab632-d009-4638-8c50-c3e2c22c93ab-0_ENSG00000085231	3.0	2.0	1.0	1.0	3.0
100:1051|ce78024c-c035-4bfb-865d-fb39b19f4467-0_ENSG00000154240	0.0	1.0	0.0	1.0	1.0
100:1053|d909d4ba-64ba-4aa8-b1cf-649b63c0e024-0_22:16405000	44.0	14.0	26.0	35.0	10.0
100:1055|dee18eb7-8422-46f6-84bd-903f9ee211af-0_ENSG00000143543	6.0	1.0	4.0	3.0	4.0
100:1056|6eabd176-e23b-4d22-b295-6df83f069cde-0_ENSG00000291130	20.0	3.0	7.0	16.0	2.0
100:1059|ad199d3b-5d6b-47f8-8900-2dd840266bd1-0_ENSG00000136521	7.0	1.0	4.0	9.0	7.0
100:1060|cae6027f-ef8f-423f-b2ff-ee3547d992b1-0_5:40224000	1.0	3.0	0.0	2.0	0.0
100:1061|664920d1-55d8-46f1-9e05-7099d1a175c1-0_20:46346000	2.0	0.0	1.0	0.0	0.0
100:1065|f159ee0e-5f5c-4116-bbac-d2f14bc74f77-0_ENSG00000089157	4.0	2.0	3.0	3.0	2.0
100:1067|3271575f-80a5-491e-a6bc-74a3478a77e2-0_ENSG00000187109	12.0	16.0	8.0	10.0	5.0
100:1068|c41cde08-86a2-45d7-95e7-8c4ef2b4d565-0_ENSG00000154309	5.0	1.0	2.0	3.0	0.0
100:1069|a0accb31-f955-4d21-b1da-5c45cdbf7512-0_3:101860000	6.0	8.0	5.0	4.0	0.0
100:1072|4fa6357b-8172-4314-ac18-2bc1615a99c7-0_1:92842000	1.0	2.0	0.0	2.0	0.0
100:1074|3efd27f5-c1d2-49bd-8d3a-e886ab99ee6c-0_7:102572000	1.0	1.0	0.0	0.0	1.0
100:1077|f0cae99c-9dac-4bc4-b1b0-9b266d30c2af-0_17:45150000	4.0	4.0	11.0	0.0	3.0
100:1079|5a459a10-2427-4912-8895-d32fad8d2aac-0_7:6688000	2.0	4.0	0.0	1.0	1.0
100:1086|03ab7960-4abb-4053-99e6-05e13b505d61-0_ENSG00000184831	15.0	6.0	9.0	9.0	10.0
100:1087|3b4c9ebb-ae58-4f24-b710-704c63467543-0_9:87012000	4.0	18.0	9.0	3.0	8.0
100:1087|84a28a7f-d27e-4382-9bfa-a49c3327b08c-0_6:25014000	8.0	2.0	3.0	4.0	3.0
100:1087|9fe1a089-f09c-46b7-9377-55abd43fcc26-0_ENSG00000280400	1.0	1.0	0.0	0.0	2.0
100:1088|1a1ee0a1-c2a0-402d-8123-7c3ae7dab7d2-0_ENSG00000115204	0.0	2.0	1.0	0.0	1.0
100:1091|5ace0408-28f3-4519-913e-113f3940ab3d-0_19:4961000	1.0	8.0	3.0	0.0	5.0
100:1095|20784e1f-2aad-486e-a2a8-48fc73de5dfb-0_9:105391000	24.0	42.0	27.0	10.0	19.0
100:1095|25d1652a-d5dd-4f66-b009-694ffc516b26-0_7:50404000	9.0	10.0	10.0	2.0	6.0
100:1095|2a11d330-ef45-4547-a7ae-d9e03a256c37-0_15:65148000	2.0	5.0	3.0	1.0	1.0
100:1095|55c82a76-8973-4269-815d-c2a97801fcf6-0_1:215621000	1.0	6.0	5.0	0.0	3.0
100:1095|7131165c-e327-4092-bba9-64a5be94390e-0_ENSG00000070831	3.0	0.0	0.0	1.0	0.0
100:1096|cb163fd0-dc69-461c-8318-0544d2f655d0-0_ENSG00000108587	1.0	0.0	0.0	4.0	1.0
100:1099|3fc6be38-f47a-486d-89fa-9e3bdf2b12d0-0_ENSG00000225484	9.0	7.0	5.0	2.0	2.0
100:1099|e3c4152a-c57c-4794-ae79-7fbe7da74a58-0_17:7225000	4.0	1.0	1.0	3.0	1.0
100:1100|7286c1cb-51ba-4a6c-ab48-e67ea3d9bd04-0_7:92458000	1.0	2.0	1.0	0.0	1.0
100:1100|d3f15b4b-a6c1-4ac5-9407-b130ce7a0a0a-0_ENSG00000148444	3.0	2.0	4.0	1.0	3.0
100:1103|97cc52f9-bc78-478d-8880-b44b5ee7818c-0_ENSG00000261740	9.0	1.0	0.0	2.0	3.0
100:1105|c77b4897-0032-4e6f-a9b8-2cadaa36de1e-0_13:46181000	2.0	3.0	2.0	5.0	0.0
100:1107|6440be71-aaaa-48cb-b1f3-e1f40b0362e2-0_X:130413000	13.0	17.0	16.0	10.0	9.0
100:1107|fe98717f-a7a9-48c5-83d0-a6bd1d607dc6-0_12:133012000	0.0	2.0	1.0	1.0	1.0
100:1109|5e5c1823-1f28-4e5d-aea3-c68fb8c687f5-1-0_ENSG00000165494	3.0	5.0	0.0	0.0	0.0
100:1109|7d8e7986-f41e-46e6-9f66-3cf6c127fb7d-0_ENSG00000183814	0.0	1.0	1.0	1.0	0.0
